# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:25:04                 84.1          252
11:25:09                  749          847
11:25:14                  912         1447
11:25:19                  994         2100
11:25:24                 1032         2765
11:25:29                  938         3064
11:25:34                  879         2969
11:25:39                  834         2969
11:25:44                  801         3210
11:25:49                  769         3297
11:25:54                  749         3423
11:25:59                  733         3532
11:26:04                  716         3593
11:26:09                  707         3745
11:26:14                  695         3817
11:26:19                  684         3889
11:26:24                  680         3982
11:26:29                  672         4054
11:26:35                  666         4135
11:26:40                  664         4293
11:26:45                  656         4353
11:26:50                  649         4377
11:26:55                  642         4427
11:27:00                  637         4490
11:27:05                  632         4548
11:27:10                  627         4600
11:27:15                  623         4657
11:27:20                  619         4701
11:27:25                  616         4758
11:27:30                  611         4814
11:27:35                  604         4914
11:27:40                  593         4914
11:27:45                  587         5007
11:27:50                  577         5007
11:27:55                  571         5081
11:28:00                  562         5081
11:28:05                  557         5167
11:28:10                  549         5167
11:28:16                  544         5268
11:28:21                  536         5270
11:28:26                  532         5428
11:28:31                  524         5428
11:28:36                  517         5428
11:28:41                  514         5509
11:28:46                  507         5509
11:28:51                  501         5509
11:28:56                  497         5580
11:29:01                  491         5580
11:29:06                  485         5580
11:29:11                  482         5636
11:29:16                  476         5636
11:29:21                  470         5636
11:29:26                  467         5694
11:29:31                  461         5694
11:29:36                  456         5694
11:29:41                  453         5694
11:29:46                  448         5694
11:29:51                  443         5694
11:29:56                  438         5694
11:30:02                  436         5694
11:30:07                  431         5694
11:30:12                  427         5694
11:30:17                  424         5694
11:30:22                  420         5694
11:30:27                  416         5822
11:30:32                  414         5822
11:30:37                  410         5822
11:30:42                  406         5822
11:30:47                  402         5822
11:30:52                  400         5822
11:30:57                  397         5920
11:31:02                  395         5920
11:31:07                  391         5920
11:31:12                  388         5920
11:31:17                  386         5920
11:31:22                  383         5920
11:31:27                  380         5920
11:31:32                  378         5920
11:31:37                  377         5843
11:31:42                  375         5843
11:31:48                  375         5843
11:31:53                  373         5843
11:31:58                  372         5843
11:32:03                  370         5843
11:32:08                  369         5843
11:32:13                  368         5843
11:32:18                  365         5843
11:32:23                  364         5843
11:32:28                  361         5843
11:32:33                  358         5843
11:32:38                  356         5843
11:32:43                  355         5843
11:32:48                  352         5843
11:32:53                  352         5843
11:32:58                  351         5850
11:33:03                  351         5992
11:33:08                  352         6024
11:33:13                  352         6026
11:33:18                  352         6044
11:33:23                  352         6044
11:33:28                  352         6073
11:33:33                  352         6073
11:33:38                  353         6083
11:33:43                  352         6083
11:33:48                  352         6087
11:33:54                  352         6087
11:33:59                  353         6088
11:34:04                  353         6120
11:34:09                  352         6120
11:34:14                  352         6120
11:34:19                  353         6121
11:34:24                  353         6121
11:34:29                  353         6121
11:34:34                  354         6121
11:34:39                  353         6121
11:34:44                  353         6121
11:34:49                  354         6121
11:34:54                  354         6121
11:34:59                  354         6121
