# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
12:31:14                 20.3           56
12:31:19                  117           88
12:31:24                  140          105
12:31:29                  151          119
12:31:34                  159          130
12:31:39                  165          148
12:31:44                  168          163
12:31:49                  170          195
12:31:54                  172          217
12:31:59                  172          231
12:32:04                  174          347
12:32:09                  178          437
12:32:14                  181          496
12:32:20                  183          551
12:32:25                  185          606
12:32:30                  185          644
12:32:35                  180          688
12:32:40                  175          720
12:32:45                  171          729
12:32:50                  168          738
12:32:55                  164          749
12:33:00                  162          758
12:33:05                  159          766
12:33:10                  156          775
12:33:15                  154          783
12:33:20                  152          792
12:33:25                  150          801
12:33:30                  148          809
12:33:35                  147          818
12:33:40                  145          829
12:33:45                  144          838
12:33:50                  142          852
12:33:56                  141          861
12:34:01                  140          869
12:34:06                  139          880
12:34:11                  137          888
12:34:16                  137          897
12:34:21                  135          907
12:34:26                  135          918
12:34:31                  134          928
12:34:36                  133          937
12:34:41                  132          948
12:34:46                  131          957
12:34:51                  131          967
12:34:56                  130          976
12:35:01                  129          986
12:35:06                  129          997
12:35:11                  128         1006
12:35:16                  127         1016
12:35:21                  127         1024
12:35:27                  126         1035
12:35:32                  126         1044
12:35:37                  125         1054
12:35:42                  125         1116
12:35:47                  125         1165
12:35:52                  125         1200
12:35:57                  125         1232
12:36:02                  125         1262
12:36:07                  125         1291
12:36:12                  125         1317
12:36:17                  125         1347
12:36:22                  125         1385
12:36:27                  125         1412
12:36:32                  125         1441
12:36:37                  125         1466
12:36:43                  125         1523
12:36:48                  126         1556
12:36:53                  125         1576
12:36:58                  125         1596
12:37:03                  125         1616
12:37:08                  125         1637
12:37:13                  126         1794
12:37:18                  126         1810
12:37:23                  126         1850
12:37:29                  126         1872
12:37:34                  125         1889
12:37:39                  125         1908
12:37:44                  125         1927
12:37:49                  125         1946
12:37:54                  125         2000
12:37:59                  125         2010
12:38:04                  125         2032
12:38:09                  125         2048
12:38:14                  125         2064
12:38:19                  125         2081
12:38:25                  124         2096
12:38:30                  124         2109
12:38:35                  124         2123
12:38:40                  124         2135
12:38:45                  124         2146
12:38:50                  123         2156
12:38:55                  123         2173
12:39:00                  123         2199
12:39:05                  123         2221
12:39:10                  122         2239
12:39:15                  122         2252
12:39:20                  122         2267
12:39:25                  122         2284
12:39:30                  122         2297
12:39:36                  121         2309
12:39:41                  121         2328
12:39:46                  121         2345
12:39:51                  121         2359
12:39:56                  120         2375
12:40:01                  120         2395
12:40:06                  120         2410
12:40:11                  120         2424
12:40:16                  119         2439
12:40:21                  119         2453
12:40:26                  119         2469
12:40:31                  118         2493
12:40:36                  118         2517
12:40:41                  118         2540
12:40:46                  117         2561
12:40:52                  117         2578
12:40:57                  117         2593
12:41:02                  117         2608
12:41:07                  117         2621
12:41:12                  116         2642
12:41:17                  116         2700
12:41:22                  116         2707
12:41:27                  115         2715
12:41:32                  115         2718
12:41:37                  115         2724
12:41:42                  114         2735
12:41:48                  114         2719
12:41:53                  114         2727
12:41:58                  114         2733
12:42:03                  113         2747
12:42:08                  113         2755
12:42:13                  113         2759
12:42:18                  113         2762
12:42:23                  113         2764
12:42:28                  113         2764
12:42:33                  112         2764
12:42:38                  112         2765
12:42:44                  112         2765
12:42:49                  112         2765
12:42:54                  112         2765
12:42:59                  112         2870
12:43:04                  112         2789
12:43:09                  112         2777
12:43:14                  112         2782
12:43:19                  111         2787
12:43:24                  111         2794
12:43:29                  111         2801
12:43:34                  111         2810
12:43:40                  111         2820
12:43:45                  111         2830
12:43:50                  110         2841
12:43:55                  110         2868
12:44:00                  110         2909
12:44:05                  110         2936
12:44:10                  110         2955
12:44:15                  110         2969
12:44:20                  110         2986
12:44:25                  109         3008
12:44:30                  109         3043
12:44:35                  109         3065
12:44:41                  109         3102
12:44:46                  109         3109
12:44:51                  109         3095
12:44:56                  109         3087
12:45:01                  109         3087
12:45:06                  109         3118
12:45:11                  109         3130
12:45:16                  108         3143
12:45:21                  108         3156
12:45:26                  108         3169
12:45:31                  108         3181
12:45:37                  108         3191
12:45:42                  108         3206
12:45:47                  107         3222
12:45:52                  107         3236
12:45:57                  107         3249
12:46:02                  107         3260
12:46:07                  107         3271
12:46:12                  107         3302
12:46:17                  107         3294
12:46:22                  106         3002
12:46:27                  106         2105
12:46:33                  105         1340
12:46:38                  105         1152
