# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:18:00                 14.0           56
11:18:05                  107          113
11:18:10                  128          161
11:18:15                  120          173
11:18:20                  115          181
11:18:25                  113          192
11:18:30                  112          205
11:18:35                  112          217
11:18:40                  112          229
11:18:45                  113          243
11:18:50                  113          257
11:18:56                  114          275
11:19:01                  113          289
11:19:06                  113          309
11:19:11                  113          322
11:19:16                  113          337
11:19:21                  112          349
11:19:26                  111          358
11:19:31                  110          364
11:19:36                  109          367
11:19:41                  107          371
11:19:46                  106          376
11:19:51                  104          390
11:19:56                  103          404
11:20:01                  101          417
11:20:06                 99.0          430
11:20:11                 97.1          443
11:20:16                 95.5          454
11:20:21                 93.8          465
11:20:26                 92.2          474
11:20:31                 90.4          482
11:20:36                 88.8          489
11:20:41                 87.1          494
11:20:47                 85.6          498
11:20:52                 84.0          502
11:20:57                 82.6          504
11:21:02                 81.2          507
11:21:07                 80.0          510
11:21:12                 78.9          513
11:21:17                 77.8          515
11:21:22                 76.8          518
11:21:27                 75.9          520
11:21:32                 75.0          522
11:21:37                 74.0          524
11:21:42                 73.1          526
11:21:47                 72.2          527
11:21:52                 71.2          529
11:21:57                 70.5          531
11:22:02                 69.7          533
11:22:07                 69.0          535
11:22:12                 68.4          537
11:22:17                 67.8          540
11:22:22                 67.2          542
11:22:27                 66.6          544
11:22:32                 65.9          545
11:22:37                 65.3          548
11:22:42                 64.7          549
11:22:47                 64.2          551
11:22:52                 63.8          553
11:22:58                 63.3          556
