# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:59:11                 10.0           58
11:59:16                 80.8          219
11:59:21                  107          363
11:59:26                  117          517
11:59:31                  123          657
11:59:36                  125          858
11:59:41                  142         1453
11:59:46                  188         1834
11:59:51                  221         2121
11:59:56                  250         2416
12:00:01                  272         2710
12:00:06                  286         2900
12:00:11                  302         3242
12:00:16                  330         3447
12:00:21                  354         3448
12:00:27                  376         3559
12:00:32                  396         3607
12:00:37                  411         3660
12:00:42                  429         3740
12:00:47                  439         3770
12:00:52                  451         3803
12:00:57                  464         3815
12:01:02                  472         3970
12:01:07                  483         3987
12:01:12                  490         4102
12:01:17                  499         4150
12:01:22                  505         4150
12:01:27                  510         4242
12:01:32                  516         4285
12:01:37                  522         4366
12:01:42                  527         4460
12:01:47                  532         4483
12:01:52                  535         4483
12:01:57                  540         4613
12:02:03                  544         4616
12:02:08                  549         4638
12:02:13                  551         4778
12:02:18                  555         4836
12:02:23                  559         4839
12:02:28                  561         4957
12:02:33                  565         4988
12:02:38                  567         5106
12:02:43                  571         5133
12:02:48                  572         5152
12:02:53                  575         5187
12:02:58                  577         5268
12:03:03                  579         5302
12:03:08                  581         5333
12:03:13                  581         5392
12:03:18                  581         5587
12:03:23                  580         5667
12:03:29                  580         5727
12:03:34                  580         5787
12:03:39                  579         5895
12:03:44                  578         5897
12:03:49                  578         6015
12:03:54                  576         6034
12:03:59                  576         6247
12:04:04                  575         6329
12:04:09                  575         6367
12:04:14                  574         6378
12:04:20                  573         6380
12:04:25                  573         6476
12:04:30                  572         6696
12:04:35                  571         6817
12:04:40                  571         6821
12:04:45                  570         6825
12:04:50                  571         6825
12:04:55                  570         6927
12:05:00                  568         6977
12:05:05                  567         7160
12:05:10                  567         7171
12:05:15                  566         7188
12:05:20                  565         7188
12:05:25                  565         7188
12:05:31                  564         7284
12:05:36                  564         7473
12:05:41                  563         7475
12:05:46                  563         7480
12:05:51                  562         7484
12:05:56                  561         7484
12:06:01                  560         7554
12:06:06                  559         7776
12:06:11                  560         7917
12:06:16                  559         7919
12:06:21                  558         7939
12:06:26                  557         7967
12:06:32                  556         8120
12:06:37                  555         8168
12:06:42                  555         8319
12:06:47                  555         8361
12:06:52                  555         8363
12:06:57                  555         8365
12:07:02                  554         8525
12:07:07                  554         8565
12:07:12                  553         8571
12:07:17                  552         8577
12:07:22                  552         8735
12:07:27                  549         8736
12:07:33                  548         8782
12:07:38                  546         8462
12:07:43                  545         7966
12:07:48                  544         7532
12:07:53                  543         7086
12:07:58                  542         6496
12:08:03                  545         6572
12:08:08                  547         6476
12:08:13                  548         6519
12:08:18                  550         6464
12:08:23                  552         6503
12:08:28                  553         6379
12:08:33                  555         6419
12:08:39                  556         6409
12:08:44                  557         6396
12:08:49                  558         6394
12:08:54                  559         6366
12:08:59                  559         6382
12:09:04                  561         6345
12:09:09                  562         6305
12:09:14                  563         6261
12:09:19                  566         6359
12:09:24                  569         6287
12:09:29                  572         6266
12:09:34                  575         6264
12:09:39                  578         6311
12:09:45                  579         6267
12:09:50                  579         6331
12:09:55                  581         6266
12:10:00                  581         6294
12:10:05                  581         6236
12:10:10                  583         6198
12:10:15                  586         6289
12:10:20                  588         6259
12:10:25                  590         6290
12:10:30                  592         6250
12:10:35                  594         6280
12:10:40                  596         6218
12:10:46                  597         6203
12:10:51                  599         6248
12:10:56                  600         6248
12:11:01                  602         6248
12:11:06                  604         6192
12:11:11                  605         6164
12:11:16                  607         6204
12:11:21                  609         6177
12:11:26                  611         6150
12:11:31                  612         6163
12:11:36                  613         6197
12:11:41                  615         6204
12:11:47                  616         6184
12:11:52                  618         6112
12:11:57                  618         6144
12:12:02                  620         6184
12:12:07                  621         6189
12:12:12                  623         6189
12:12:17                  623         6193
12:12:22                  623         6188
12:12:27                  623         6152
12:12:32                  623         6126
12:12:37                  624         6048
12:12:43                  624         6088
12:12:48                  625         5949
12:12:53                  625         5947
12:12:58                  625         5851
12:13:03                  626         5828
12:13:08                  625         5826
12:13:13                  625         5832
12:13:18                  626         5833
12:13:23                  626         5830
12:13:28                  626         5711
12:13:33                  626         5726
12:13:38                  626         5707
12:13:44                  627         5734
12:13:49                  627         5688
12:13:54                  628         5654
12:13:59                  629         5661
12:14:04                  629         5704
12:14:09                  629         5694
12:14:14                  631         5683
12:14:19                  631         5631
12:14:24                  634         5601
12:14:29                  635         5639
12:14:34                  636         5632
12:14:39                  638         5623
12:14:44                  638         5560
12:14:49                  638         5628
12:14:54                  639         5624
12:15:00                  640         5632
12:15:05                  640         5634
12:15:10                  640         5635
12:15:15                  641         5590
12:15:20                  641         5606
12:15:25                  642         5613
12:15:30                  644         5620
12:15:35                  645         5630
12:15:40                  646         5634
12:15:45                  646         5544
12:15:50                  646         5521
12:15:55                  646         5584
12:16:01                  646         5587
12:16:06                  646         5589
12:16:11                  645         5581
12:16:16                  645         5584
12:16:21                  645         5521
12:16:26                  645         5519
12:16:31                  645         5508
12:16:36                  645         5278
12:16:42                  644         5334
12:16:47                  644         5345
12:16:52                  644         5316
12:16:57                  644         5322
12:17:02                  646         5329
12:17:07                  647         5292
12:17:12                  647         5282
12:17:17                  649         5301
12:17:22                  650         5303
12:17:27                  651         5303
12:17:32                  652         5304
12:17:37                  654         5304
12:17:43                  655         5304
12:17:48                  655         5304
12:17:53                  656         5304
12:17:58                  657         5303
12:18:03                  658         5304
12:18:08                  659         5305
12:18:13                  659         5308
12:18:18                  660         5308
12:18:23                  660         5308
12:18:28                  660         5308
12:18:33                  659         5308
12:18:38                  659         5309
12:18:44                  659         5310
12:18:49                  659         5312
12:18:54                  659         5313
12:18:59                  659         5314
12:19:04                  659         5315
12:19:09                  658         5316
12:19:14                  658         5318
12:19:19                  659         5281
12:19:24                  660         5269
12:19:29                  661         5264
12:19:34                  662         5253
12:19:39                  663         5263
12:19:44                  663         5263
12:19:49                  663         5263
12:19:55                  663         5263
12:20:00                  664         5264
12:20:05                  665         5264
12:20:10                  665         5264
12:20:15                  666         5264
12:20:20                  666         5264
12:20:25                  667         5231
12:20:30                  667         5205
12:20:35                  668         5236
12:20:41                  668         5241
12:20:46                  668         5242
12:20:51                  669         5244
12:20:56                  669         5245
12:21:01                  669         5247
12:21:06                  669         5247
12:21:11                  669         5249
12:21:16                  670         5257
12:21:21                  670         5258
12:21:26                  670         5260
12:21:31                  671         5261
12:21:36                  672         5261
12:21:41                  673         5261
12:21:46                  672         5261
12:21:52                  672         5261
12:21:57                  672         5262
12:22:02                  672         5261
12:22:07                  671         5261
12:22:12                  671         5262
12:22:17                  670         5263
12:22:22                  670         5263
12:22:27                  670         5265
12:22:32                  669         5265
12:22:38                  669         5267
12:22:43                  669         5267
12:22:48                  669         5255
12:22:53                  668         5255
12:22:58                  668         5255
12:23:03                  669         5257
12:23:08                  669         5257
12:23:13                  670         5237
12:23:18                  671         5238
12:23:23                  672         5197
12:23:28                  672         5169
12:23:33                  672         5191
12:23:39                  673         5193
12:23:44                  673         5193
12:23:49                  673         5195
12:23:54                  674         5195
12:23:59                  675         5197
12:24:04                  675         5197
12:24:09                  675         5197
12:24:14                  676         5197
12:24:19                  676         5197
12:24:24                  677         5197
12:24:29                  678         5198
12:24:34                  678         5199
12:24:39                  679         5198
12:24:45                  680         5198
12:24:50                  680         5195
12:24:55                  680         5195
12:25:00                  680         5195
12:25:05                  680         5202
12:25:10                  680         5202
12:25:15                  680         5202
12:25:20                  680         5202
12:25:25                  680         5202
12:25:30                  680         5202
12:25:35                  680         5202
12:25:40                  681         5202
