# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:52:55                  1.4           49
11:53:00                  0.0           49
11:53:05                 71.2           93
11:53:11                 51.2          116
11:53:17                 49.9          133
11:53:23                 50.6          152
11:53:29                 53.5          165
11:53:34                 47.4          177
11:53:39                 27.3          186
