# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:52:55                  4.6          250
11:53:00                  0.0          251
11:53:05                384.9          593
11:53:11                304.7          885
11:53:17                155.4         1008
11:53:23                363.0         1129
11:53:29                234.2         1210
11:53:34                202.1         1328
11:53:39                 96.7         1385
