# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:52:55                  0.0           49
11:53:00                  0.0           49
11:53:05                313.3          234
11:53:11                513.9          324
11:53:17                342.5          365
11:53:23                418.0          366
11:53:29                484.2          366
11:53:34                525.1          366
11:53:39                675.8          373
