# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:52:55                  0.0           45
11:53:00                  0.0           45
11:53:05                 29.9          141
11:53:11                 13.4          151
11:53:17                 41.6          157
11:53:23                 61.7          163
11:53:29                 46.7          167
11:53:34                 38.1          171
11:53:39                 37.9          179
