# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM (whole process)
timestamp                cpu%      rss_MiB
11:00:44                  5.5           46
11:00:49                 20.2           77
11:00:54                 14.8           77
11:00:59                 10.5           78
11:01:04                  8.2           78
11:01:10                  6.7           80
11:01:15                  5.7           78
11:01:20                  5.0           80
11:01:25                  4.5           80
11:01:30                  4.1           78
11:01:35                  3.8           80
11:01:40                  3.5           77
11:01:45                  3.3           78
11:01:50                  3.1           78
11:01:55                  2.9           76
11:02:00                  2.8           79
11:02:05                  2.6           79
11:02:10                  2.6           80
11:02:15                  2.4           80
11:02:20                  2.4           79
11:02:25                  2.3           79
11:02:30                  2.2           79
11:02:35                  2.1           79
11:02:40                  2.1           79
