# timestamp=sample time  cpu%=% of one core (may exceed 100)  mem_MiB=container resident memory
timestamp                cpu%      mem_MiB
01:23:27                 0.08         24.4
01:23:33               174.51        116.9
01:23:40               181.89        572.7
01:23:47               380.60       1830.9
01:23:53               352.07       2768.9
01:24:00               182.13       2783.2
01:24:07               187.88       2823.2
01:24:13               309.63       2851.8
01:24:20               191.13       2859.0
01:24:26               357.71       2860.0
01:24:33               182.69       2860.0
01:24:39               282.38       2876.4
01:24:46               185.55       2889.7
01:24:53               181.86       2893.8
01:24:59               345.87       2921.5
01:25:06               186.77       2926.6
01:25:12               355.96       2926.6
01:25:19               185.51       2927.6
01:25:26               188.57       2930.7
01:25:32               346.66       2934.8
01:25:39               192.41       2940.9
01:25:45               180.21       2940.9
01:25:52               327.49       2944.0
01:25:58               185.16       2952.2
01:26:05               348.23       2959.4
01:26:12               187.22       2958.3
01:26:18               185.87       2958.3
01:26:25               356.81       2989.1
01:26:31               191.81       2991.1
01:26:38               185.29       3000.3
01:26:44               347.58       3001.3
01:26:51               184.68       3003.4
01:26:58               186.63       3006.5
01:27:04               350.04       3007.5
01:27:11               189.22       3007.5
01:27:17               183.77       3009.5
01:27:24               191.37       3016.7
01:27:31               348.02       3025.9
01:27:37               188.26       3024.9
01:27:44               189.49       3040.3
01:27:50               180.05       3040.3
01:27:57               336.01       3042.3
01:28:04               339.19       3043.3
01:28:10               184.53       3047.4
01:28:17               180.52       3048.4
01:28:23               191.30       3047.4
01:28:30               181.44       3047.4
01:28:36               347.26       3050.5
01:28:43               356.76       3050.5
01:28:50               373.78       3060.7
01:28:56               195.24       3072.0
01:29:03               185.05       3074.0
01:29:09               189.68       3078.1
01:29:16               185.96       3078.1
01:29:23               199.99       3078.1
01:29:29               190.43       3079.2
01:29:36               186.22       3079.2
01:29:42               187.76       3079.2
01:29:49               327.99       3084.3
01:29:56               408.04       3084.3
01:30:02               363.85       3084.3
01:30:09               180.71       3092.5
01:30:15               188.60       3093.5
01:30:22               181.46       3093.5
01:30:28               190.49       3093.5
01:30:35               192.07       3093.5
01:30:42               366.82       3097.6
01:30:48               335.92       3099.6
01:30:55               351.90       3099.6
01:31:02               179.99       3098.6
01:31:08               183.46       3119.1
01:31:15               180.41       3125.2
01:31:21               187.76       3126.3
01:31:28               187.44       3125.2
01:31:34               192.53       3125.2
01:31:41               182.68       3139.6
01:31:48               185.65       3142.7
01:31:54               188.77       3141.6
01:32:01               181.72       3142.7
01:32:07               189.55       3146.8
01:32:14               186.20       3145.7
01:32:21               186.29       3145.7
01:32:27               278.08       3150.8
01:32:34               355.89       3149.8
01:32:40               348.46       3149.8
01:32:47               366.45       3150.8
01:32:53               357.28       3161.1
01:33:00               181.95       3160.1
01:33:07               190.14       3160.1
01:33:13               190.13       3161.1
01:33:20               344.93       3160.1
01:33:26               194.56       3172.4
01:33:33               192.93       3172.4
01:33:39               339.16       3172.4
01:33:46               278.99       3172.4
01:33:53               195.90       3172.4
01:33:59               354.61       3172.4
01:34:06               190.65       3172.4
01:34:12               187.52       3172.4
01:34:19               353.30       3172.4
01:34:25               190.71       3172.4
01:34:32               187.82       3172.4
01:34:39               340.05       3172.4
01:34:45               185.85       3172.4
01:34:52               191.16       3172.4
01:34:58               354.46       3173.4
01:35:05               178.03       3173.4
01:35:12               187.39       3172.4
01:35:18               344.43       3179.5
01:35:25               190.41       3179.5
01:35:31               189.67       3179.5
01:35:38               341.98       3179.5
01:35:44               193.69       3179.5
01:35:51               186.53       3178.5
01:35:58               361.01       3179.5
01:36:04               201.67       3183.6
01:36:11               200.86       3183.6
01:36:17               345.05       3185.7
01:36:24               201.89       3202.0
01:36:30               331.53       3204.1
01:36:37               202.89       3204.1
01:36:44               204.30       3203.1
01:36:50               197.93       3225.6
01:36:57               348.66       3227.6
01:37:03               203.94       3227.6
01:37:10               199.85       3229.7
01:37:16               355.68       3233.8
01:37:23               204.03       3233.8
01:37:30               197.34       3233.8
01:37:36               354.20       3233.8
01:37:43               844.06       3251.2
01:37:50               871.20       3254.3
01:37:57               900.52       3255.3
01:38:04               869.55       3255.3
01:38:11               907.93       3255.3
01:38:17               881.45       3255.3
01:38:24               867.16       3255.3
01:38:31               857.71       3255.3
01:38:37               864.19       3255.3
01:38:44               858.73       3256.3
01:38:51               893.68       3255.3
01:38:57               846.33       3256.3
01:39:04               934.44       3256.3
01:39:11               903.11       3256.3
01:39:17               924.72       3256.3
01:39:24               880.59       3256.3
01:39:31               859.86       3256.3
01:39:38               882.62       3257.3
01:39:45               859.79       3257.3
01:39:51               831.75       3256.3
01:39:58               844.12       3257.3
01:40:05               849.89       3257.3
01:40:11               882.06       3257.3
01:40:18               915.08       3257.3
01:40:25               876.74       3257.3
01:40:31               901.12       3258.4
01:40:38               922.14       3257.3
01:40:45               871.59       3257.3
01:40:51               842.34       3257.3
01:40:58               848.69       3259.4
01:41:05               886.81       3259.4
01:41:11               851.62       3273.7
01:41:18               845.53       3273.7
01:41:25               857.48       3281.9
01:41:31               858.24       3285.0
01:41:38               852.67       3287.0
01:41:45               884.01       3288.1
01:41:51               882.41       3324.9
01:41:58               898.33       3324.9
01:42:05               865.84       3324.9
01:42:12               860.90       3324.9
01:42:18               862.06       3324.9
01:42:25               876.62       3327.0
01:42:32               891.73       3327.0
01:42:38               852.01       3327.0
