# timestamp=sample time  cpu%=% of one core (may exceed 100)  mem_MiB=container resident memory
timestamp                cpu%      mem_MiB
20:43:43                 0.08         24.0
20:43:49                 0.07         23.4
20:43:56               257.90        756.8
20:44:02               260.86        799.3
20:44:09               234.03        824.2
20:44:16               562.83        833.8
20:44:22               606.24        872.8
20:44:29               689.23        928.0
20:44:35               783.04        997.8
20:44:42               796.86       1051.6
20:44:49               813.97       1095.7
20:44:55               755.58       1132.5
20:45:02               705.34       1186.8
20:45:08               685.08       1238.0
20:45:15               668.45       1272.8
20:45:22               688.93       1297.4
20:45:28               734.27       1336.3
20:45:35               736.29       1370.1
20:45:41               846.52       1415.2
20:45:48               782.18       1431.6
20:45:55               844.31       1461.2
20:46:01               765.32       1492.0
20:46:08               766.52       1505.3
20:46:14               769.60       1548.3
20:46:21               814.73       1549.3
20:46:28               874.23       1573.9
20:46:34               826.39       1578.0
20:46:41               853.90       1605.6
20:46:48               852.28       1605.6
20:46:54               836.01       1631.2
20:47:01               856.29       1642.5
20:47:08               842.10       1642.5
20:47:14               922.17       1707.0
20:47:21               918.81       1732.6
20:47:28               860.14       1754.1
20:47:34               858.00       1754.1
20:47:41               871.71       1759.2
20:47:48               925.06       1779.7
20:47:54               878.60       1791.0
20:48:01               898.35       1816.6
20:48:07               916.50       1812.5
20:48:14               941.12       1823.7
20:48:21               935.55       1823.7
20:48:27               875.81       1810.4
20:48:34               918.16       1849.3
20:48:41               909.02       1785.9
20:48:47               922.12       1827.8
20:48:54                19.25       1850.4
20:49:01                20.36       1850.4
20:49:07                18.35       1849.3
20:49:14                20.46       1849.3
20:49:20                19.91       1850.4
20:49:27                17.83       1849.3
20:49:34                19.41       1850.4
20:49:40                18.91       1850.4
20:49:47                18.08       1850.4
20:49:53                17.86       1850.4
20:50:00                18.83       1849.3
20:50:07                18.55       1849.3
20:50:13                18.38       1724.4
20:50:20                18.81       1724.4
20:50:26                20.19       1724.4
20:50:33                17.75       1724.4
20:50:40                16.35       1724.4
20:50:46                19.82       1724.4
20:50:53                17.49       1725.4
20:50:59                17.74       1724.4
20:51:06                20.10       1724.4
20:51:13                19.72       1724.4
20:51:19                20.18       1724.4
20:51:26                18.78       1724.4
20:51:32               121.00       1690.6
20:51:39                18.05       1690.6
20:51:46                19.46       1690.6
20:51:52                17.18       1690.6
20:51:59                17.22       1690.6
20:52:05                18.27       1689.6
20:52:12                 0.13       1690.6
20:52:19                 0.20       1690.6
20:52:25                 0.22       1689.6
20:52:32                 0.18       1689.6
20:52:39                 0.18       1689.6
20:52:45                 0.17       1689.6
20:52:52                 0.19       1689.6
20:52:59                 0.20       1689.6
20:53:05                 0.17       1689.6
20:53:12                 0.27       1689.6
20:53:19                 0.27       1689.6
20:53:25                 0.15       1689.6
20:53:32                19.71       1689.6
20:53:39                 0.18       1673.2
