# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:13:57                  1.6           60
11:14:02                 43.9          158
11:14:07                 58.0          173
11:14:12                 73.7          182
11:14:17                 88.4          192
11:14:22                 95.1          194
11:14:27                 99.6          196
11:14:32                  100          197
11:14:37                 98.1          197
11:14:42                 87.9          197
11:14:47                 79.6          197
11:14:52                 74.8          205
11:14:57                 71.1          215
11:15:02                 67.9          215
11:15:07                 65.1          215
11:15:12                 61.4          216
11:15:17                 57.7          216
11:15:22                 54.4          216
11:15:27                 51.4          216
11:15:32                 48.8          216
11:15:37                 46.4          216
11:15:42                 45.2          216
11:15:47                 44.4          218
11:15:52                 43.7          218
