# timestamp=sample time  cpu%=% of one core (may exceed 100)  rss_MiB=resident RAM
timestamp                cpu%      rss_MiB
11:09:54                 12.5           58
11:09:59                 86.5          104
11:10:04                  102          120
11:10:09                  103          137
11:10:14                 93.2          140
11:10:19                 76.7          140
11:10:24                 65.3          140
11:10:29                 56.8          144
11:10:34                 50.3          144
11:10:39                 45.1          149
11:10:44                 41.0          149
11:10:49                 40.0          150
11:10:54                 39.5          147
11:10:59                 37.2          146
11:11:04                 34.7          146
11:11:09                 32.6          146
11:11:14                 30.6          146
11:11:19                 28.9          146
11:11:24                 27.4          146
11:11:29                 26.0          146
11:11:35                 24.8          146
11:11:40                 24.9          144
11:11:45                 25.3          145
11:11:50                 24.8          147
